"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Gd-149","9.4d","0.0005","2.5E-11","1.4E-10","5.7E-11","2E-13","4.3E-12","3.2E-12","2E-10","5.9E-10","1.6E-09","3.8E-09","2.6E-09","5.9E-11","4.1E-11","5.2E-11","4.8E-10","5.4E-11","8.2E-11","7.1E-13","7E-12","1.7E-11","4.1E-11","4.1E-11","3.2E-12","7.1E-13","2.1E-10","6.1E-11","4.5E-10"
"Gd-151","120d","0.0005","3.9E-12","2.9E-11","5.7E-11","2E-13","4.8E-13","3.8E-13","6.7E-11","2E-10","7.6E-10","2.1E-09","1.3E-09","9.7E-12","1.6E-11","1E-11","1.1E-10","9.4E-12","1.8E-11","1.5E-13","1.1E-12","2.5E-12","6.5E-12","6.4E-12","3.8E-13","1.5E-13","4.1E-11","1.4E-11","2E-10"
"Gd-152","1.08E14y","0.0005","1.6E-12","2.1E-12","1.4E-06","1.6E-12","1.6E-12","1.6E-12","5E-10","1.2E-09","7.5E-09","2.2E-08","1.4E-08","4.3E-10","2.5E-07","1.6E-12","1.6E-12","1.6E-12","1.1E-07","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","3.2E-11","4.1E-08"
"Gd-153","242d","0.0005","8.3E-12","5.1E-11","1.3E-10","6.2E-13","9.1E-13","7.9E-13","9.7E-11","2.9E-10","1E-09","2.7E-09","1.8E-09","1.8E-11","3.8E-11","1.8E-11","1.9E-10","1.8E-11","3.4E-11","4.3E-13","2.6E-12","4.3E-12","1.2E-11","1.1E-11","7.9E-13","4.3E-13","7.4E-11","2.3E-11","2.7E-10"
"Gd-159","18.56h","0.0005","1.8E-12","7.3E-12","3.5E-12","1.3E-14","2.9E-13","2.1E-13","3.5E-10","7.6E-10","3E-09","4.6E-09","3.7E-09","4.2E-12","3.1E-12","3E-12","2.7E-11","4.4E-12","4.6E-12","4.2E-14","4.9E-13","9.4E-13","3E-12","1.9E-12","2.1E-13","4.2E-14","1.3E-11","1.9E-11","4.9E-10"
"Tb-147","1.65h","0.0005","1.6E-11","2.5E-11","1E-11","1.1E-13","3.6E-12","2.6E-12","5.9E-10","5.5E-10","6.2E-10","3E-10","4.8E-10","2.6E-11","1.7E-11","1.5E-11","9.6E-11","4.5E-11","2.1E-11","4.8E-13","5.4E-12","5.6E-12","2.9E-11","6.6E-12","2.6E-12","4.8E-13","5.9E-11","2.6E-11","1.6E-10"
"Tb-149","4.15h","0.0005","2.5E-11","4.7E-11","2.4E-11","3.4E-13","5.9E-12","4.3E-12","5.2E-10","7.5E-10","1.4E-09","8.2E-10","1.1E-09","4.8E-11","3.3E-11","2.7E-11","1.8E-10","6.4E-11","3.8E-11","1E-12","8.6E-12","1E-11","4.3E-11","1.2E-11","4.3E-12","1E-12","1.1E-10","4.1E-11","2.5E-10"
"Tb-150","3.27h","0.0005","2.2E-11","3.4E-11","1.3E-11","1.7E-13","5E-12","3.6E-12","6.9E-10","8.9E-10","1.4E-09","6.7E-10","1.1E-09","3.9E-11","2.7E-11","2.1E-11","1.4E-10","6E-11","3E-11","7.1E-13","7.5E-12","8.1E-12","3.9E-11","8.2E-12","3.6E-12","7.1E-13","8.9E-11","3.9E-11","2.5E-10"
"Tb-151","17.6h","0.0005","3.2E-11","1.2E-10","4.2E-11","1.6E-13","5.9E-12","4.2E-12","2.7E-10","6.2E-10","1.5E-09","1.9E-09","1.7E-09","6.9E-11","4.8E-11","4.9E-11","4.1E-10","7.2E-11","7.5E-11","8.7E-13","9.3E-12","1.7E-11","5.1E-11","3.2E-11","4.2E-12","8.7E-13","2E-10","6E-11","3.4E-10"
"Tb-153","2.34d","0.0005","1.1E-11","6.3E-11","3.2E-11","5.2E-14","1.6E-12","1.2E-12","1.2E-10","3.4E-10","1E-09","2.1E-09","1.5E-09","2.7E-11","1.9E-11","2.3E-11","2.2E-10","2.6E-11","3.5E-11","2.2E-13","2.8E-12","6.8E-12","1.9E-11","1.6E-11","1.2E-12","2.2E-13","9.7E-11","2.9E-11","2.5E-10"
"Tb-154","21.4h","0.0005","8.3E-11","2.8E-10","8.8E-11","1.2E-12","2.1E-11","1.5E-11","5E-10","1.2E-09","2.6E-09","3.2E-09","2.8E-09","1.7E-10","1.2E-10","1.3E-10","9.7E-10","1.7E-10","1.8E-10","4.4E-12","2.9E-11","5.1E-11","1.3E-10","8.6E-11","1.5E-11","4.4E-12","4.7E-10","1.4E-10","6.5E-10"
"Tb-155","5.32d","0.0005","7.3E-12","5.3E-11","3.1E-11","2.9E-14","8.1E-13","5.5E-13","8.9E-11","2.6E-10","8E-10","1.8E-09","1.2E-09","1.9E-11","1.3E-11","1.8E-11","1.9E-10","1.9E-11","2.7E-11","8.5E-14","1.7E-12","4.7E-12","1.4E-11","1.2E-11","5.5E-13","8.5E-14","7.8E-11","2.3E-11","2.1E-10"
"Tb-156","5.34d","0.0005","1E-10","5E-10","1.5E-10","1.1E-12","2.3E-11","1.7E-11","6E-10","1.7E-09","3.9E-09","7.9E-09","5.6E-09","2.3E-10","1.6E-10","1.9E-10","1.6E-09","2.1E-10","3E-10","4.4E-12","3.3E-11","7.2E-11","1.6E-10","1.5E-10","1.7E-11","4.4E-12","7.3E-10","2.2E-10","1.2E-09"
"Tb-156n","5.0h","0.0005","3E-12","1.8E-11","5.4E-12","3.5E-14","6.4E-13","4.8E-13","9.8E-11","1.9E-10","4.2E-10","5E-10","4.5E-10","7E-12","4.8E-12","6.5E-12","5.8E-11","5.4E-12","1E-11","1.4E-13","9.2E-13","2.4E-12","4.5E-12","5.7E-12","4.8E-13","1.4E-13","2.4E-11","1E-11","8.1E-11"
"Tb-156m","24.4h","0.0005","8.2E-12","6.1E-11","2.1E-11","1.1E-13","1.7E-12","1.3E-12","6.4E-11","2.2E-10","6E-10","1.5E-09","9.8E-10","2E-11","1.3E-11","2.1E-11","1.9E-10","1.6E-11","3.2E-11","3.8E-13","2.5E-12","7.3E-12","1.3E-11","1.9E-11","1.3E-12","3.8E-13","7.8E-11","2.4E-11","1.7E-10"
"Tb-157","150y","0.0005","1.1E-12","1.4E-12","2.1E-10","2.7E-13","1.6E-13","1.8E-13","8.7E-12","2.3E-11","1.2E-10","3.4E-10","2.1E-10","1E-12","3.2E-11","7.2E-13","6.1E-12","1E-12","1.8E-11","1.4E-13","5.4E-13","2.2E-13","4.1E-13","2.9E-13","1.8E-13","1.4E-13","2.1E-12","1.2E-12","3.4E-11"
"Tb-158","150y","0.0005","2.8E-10","3.1E-10","2.7E-09","6.7E-11","6.5E-11","6.9E-11","4.5E-10","1.2E-09","3.3E-09","8.1E-09","5.4E-09","2.6E-10","1.2E-09","1.7E-10","9.9E-10","2.6E-10","7E-10","5.3E-11","1.3E-10","8.5E-11","1.4E-10","1.1E-10","6.9E-11","5.3E-11","4.5E-10","1.9E-10","1.1E-09"
"Tb-160","72.3d","0.0005","7.8E-11","3.6E-10","2.2E-10","2.6E-12","1.7E-11","1.4E-11","6.2E-10","1.7E-09","6E-09","1.6E-08","1E-08","1.7E-10","1.5E-10","1.4E-10","1.2E-09","1.5E-10","2.4E-10","4.6E-12","2.6E-11","5.3E-11","1.1E-10","1.1E-10","1.4E-11","4.6E-12","5.2E-10","1.7E-10","1.6E-09"
"Tb-161","6.91d","0.0005","1.4E-12","1.4E-11","2.4E-11","1.4E-14","1.2E-13","6.7E-14","2.4E-10","6.2E-10","3.3E-09","8.7E-09","5.7E-09","5.5E-12","5E-12","5E-12","6.2E-11","4.6E-12","7.8E-12","1.5E-14","3E-13","1.1E-12","3.1E-12","2.8E-12","6.7E-14","1.5E-14","2.1E-11","1.8E-11","7.2E-10"
"Dy-155","10.0h","0.0005","1.6E-11","4.8E-11","2E-11","9.8E-14","3.1E-12","2.2E-12","1.3E-10","2.6E-10","5.6E-10","5.8E-10","5.7E-10","3.3E-11","2.3E-11","2.2E-11","1.8E-10","3.8E-11","3.2E-11","4.6E-13","4.8E-12","7.7E-12","2.6E-11","1.2E-11","2.2E-12","4.6E-13","9.2E-11","2.6E-11","1.3E-10"
"Dy-157","8.1h","0.0005","8.6E-12","2.4E-11","1E-11","2.7E-14","1.4E-12","1E-12","7.4E-11","1.4E-10","2.7E-10","2.1E-10","2.4E-10","1.8E-11","1.3E-11","1.1E-11","9E-11","2.2E-11","1.7E-11","1.7E-13","2.4E-12","3.7E-12","1.5E-11","5.6E-12","1E-12","1.7E-13","5E-11","1.4E-11","6.1E-11"
"Dy-159","144.4d","0.0005","2.3E-12","2.4E-11","4.4E-11","2.4E-13","2.4E-13","1.9E-13","3.8E-11","1.2E-10","3.7E-10","9.4E-10","6.1E-10","6.6E-12","6.8E-12","8.1E-12","9.7E-11","7E-12","1.3E-11","1.3E-13","6.4E-13","1.7E-12","4.6E-12","4.6E-12","1.9E-13","1.3E-13","3.5E-11","1E-11","1E-10"
