"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Tc-97","2.6E6y","0.5","6.4E-12","1.9E-11","1.1E-11","6.4E-12","5.7E-12","6.3E-12","2.2E-10","2.7E-11","1.4E-10","3.5E-10","2.3E-10","6.3E-12","8.3E-12","6.8E-12","2.1E-11","8.9E-12","4.1E-12","6.3E-12","6.5E-12","4.8E-12","6.6E-12","6E-12","6.3E-12","1.1E-10","6.7E-12","7.2E-12","6.8E-11"
"Tc-97m","87d","0.5","3.3E-11","1.4E-10","3.7E-11","3.3E-11","3.3E-11","3.3E-11","1.8E-09","1.7E-10","1.2E-09","3.4E-09","2.1E-09","3.3E-11","4.4E-11","3.4E-11","4.7E-11","3.6E-11","3.2E-11","3.3E-11","3.3E-11","3.2E-11","3.4E-11","3.3E-11","3.3E-11","9E-10","3.4E-11","3.7E-11","5.5E-10"
"Tc-98","4.2E6y","0.5","4.1E-10","9.5E-10","3.8E-10","2.2E-10","2.3E-10","2.8E-10","5.1E-09","1.5E-09","3.9E-09","9E-09","6.1E-09","4.7E-10","4.5E-10","4E-10","1.4E-09","6.7E-10","4.9E-10","2.7E-10","2.9E-10","2.4E-10","5.1E-10","3.7E-10","2.8E-10","2.2E-09","8.2E-10","4.2E-10","2E-09"
"Tc-99","2.13E5y","0.5","3.9E-11","1.6E-10","3.9E-11","3.9E-11","3.9E-11","3.9E-11","2.2E-09","1.8E-10","1.4E-09","3.9E-09","2.5E-09","3.9E-11","5.2E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","1E-09","3.9E-11","4.2E-11","6.4E-10"
"Tc-99m","6.02h","0.5","3.9E-12","7.7E-12","4.8E-12","1.2E-12","1.3E-12","1.6E-12","5.5E-11","3.8E-11","7.7E-11","5.4E-11","6.7E-11","5.4E-12","4.3E-12","3.5E-12","1.6E-11","8.7E-12","4.3E-12","1.4E-12","2.1E-12","1.6E-12","6.1E-12","2.1E-12","1.6E-12","4.7E-11","1.1E-11","4.2E-12","2.2E-11"
"Tc-101","14.2m","0.5","7.4E-13","2.4E-13","2.3E-13","3.2E-14","1.8E-13","1.4E-13","1.5E-10","2.7E-11","5.5E-12","7.9E-13","3.5E-12","7.6E-13","4.5E-13","3.4E-13","8E-13","2.8E-12","3.5E-13","4.4E-14","2.9E-13","1.5E-13","1.8E-12","6.8E-14","1.4E-13","1.2E-12","6.8E-13","9E-13","1.9E-11"
"Tc-104","18.2m","0.5","4.5E-12","1.8E-12","1.4E-12","2.5E-13","1.4E-12","1.1E-12","6.2E-10","1.4E-10","3.6E-11","5.8E-12","2.3E-11","4.9E-12","3E-12","2.3E-12","5.9E-12","1.6E-11","2.4E-12","3.7E-13","2E-12","1.1E-12","1E-11","6E-13","1.1E-12","8.9E-12","5E-12","5.1E-12","8E-11"
"Ru-94","51.8m","0.05","1E-11","1.2E-11","5.1E-12","2.7E-13","2.4E-12","1.8E-12","3.1E-10","4.1E-10","4.2E-10","1E-10","2.8E-10","1.6E-11","1E-11","8.2E-12","4.6E-11","2.9E-11","1.1E-11","5.2E-13","3.6E-12","3.2E-12","1.9E-11","2.6E-12","1.8E-12","5.2E-13","3.4E-11","2.1E-10","9.4E-11"
"Ru-97","2.9d","0.05","1.6E-11","6.7E-11","2.5E-11","2.9E-12","4.2E-12","4.7E-12","8.4E-11","2.3E-10","5.3E-10","9.7E-10","7.2E-10","3.1E-11","2.1E-11","2.6E-11","2.1E-10","3E-11","3.8E-11","3.7E-12","6.3E-12","9.1E-12","2.3E-11","2E-11","4.7E-12","3.7E-12","9.5E-11","2.9E-11","1.5E-10"
"Ru-103","39.28d","0.05","1E-10","2.4E-10","1.1E-10","5.8E-11","5.9E-11","7E-11","3.1E-10","7.9E-10","2.6E-09","6.6E-09","4.3E-09","1.4E-10","1.1E-10","1.2E-10","5.7E-10","1.3E-10","1.6E-10","6.7E-11","7.2E-11","7E-11","1.2E-10","1.1E-10","7E-11","6.7E-11","3E-10","1.3E-10","7.3E-10"
"Ru-105","4.44h","0.05","1.5E-11","2.9E-11","1E-11","1.3E-12","3.9E-12","3.3E-12","5E-10","7.4E-10","1.6E-09","1.3E-09","1.5E-09","2.6E-11","1.8E-11","1.5E-11","9.7E-11","3.5E-11","2.2E-11","1.7E-12","5.5E-12","6.3E-12","2.4E-11","7.6E-12","3.3E-12","1.7E-12","6E-11","3E-11","2.6E-10"
"Ru-106","368.2d","0.05","1.5E-09","1.7E-09","1.5E-09","1.4E-09","1.4E-09","1.4E-09","3.1E-09","5.5E-09","2.5E-08","7.1E-08","4.5E-08","1.5E-09","1.5E-09","1.5E-09","1.7E-09","1.5E-09","1.5E-09","1.4E-09","1.4E-09","1.4E-09","1.5E-09","1.5E-09","1.4E-09","1.4E-09","1.6E-09","1.5E-09","7E-09"
"Rh-99","16d","0.05","7.5E-11","2.3E-10","1E-10","2.9E-11","3.2E-11","3.9E-11","2.6E-10","7.1E-10","1.6E-09","3.5E-09","2.4E-09","1.2E-10","9E-11","1E-10","6.8E-10","1.1E-10","1.5E-10","3.5E-11","4.3E-11","4.7E-11","9.4E-11","9.1E-11","3.9E-11","3.5E-11","3.2E-10","1.1E-10","5.1E-10"
"Rh-99m","4.7h","0.05","1.2E-11","2.2E-11","8.5E-12","4.2E-13","2.7E-12","2.1E-12","1.2E-10","1.6E-10","3.1E-10","1.7E-10","2.5E-10","2.2E-11","1.5E-11","1.3E-11","8.5E-11","3E-11","1.8E-11","7.6E-13","4.1E-12","4.7E-12","2E-11","5.6E-12","2.1E-12","7.6E-13","5.1E-11","1.5E-11","6.6E-11"
"Rh-100","20.8h","0.05","1.1E-10","3.3E-10","1E-10","8.6E-12","3E-11","2.7E-11","5.6E-10","1.3E-09","2.7E-09","3.2E-09","2.9E-09","2.1E-10","1.5E-10","1.5E-10","1.1E-09","2.1E-10","2.2E-10","1.4E-11","4.1E-11","6.3E-11","1.5E-10","1.1E-10","2.7E-11","1.4E-11","5.4E-10","1.7E-10","7.1E-10"
"Rh-101","3.2y","0.05","3E-10","3.7E-10","4.1E-10","2.2E-10","1.9E-10","2.6E-10","3.7E-10","6.6E-10","1.3E-09","2.7E-09","1.9E-09","3.1E-10","2.9E-10","2.7E-10","6.2E-10","3.3E-10","2.9E-10","2.6E-10","2.5E-10","1.8E-10","2.9E-10","2.6E-10","2.6E-10","2.6E-10","4.4E-10","2.7E-10","5.5E-10"
"Rh-101m","4.34d","0.05","2.4E-11","9.3E-11","3.4E-11","5.3E-12","7.3E-12","8.4E-12","1.2E-10","3.2E-10","7.4E-10","1.5E-09","1.1E-09","4.4E-11","3.1E-11","3.7E-11","2.9E-10","4.2E-11","5.6E-11","6.8E-12","1.1E-11","1.4E-11","3.3E-11","3.1E-11","8.4E-12","6.8E-12","1.3E-10","4.2E-11","2.2E-10"
"Rh-102m","2.9y","0.05","1.7E-09","2.1E-09","1.7E-09","1.1E-09","9.8E-10","1.4E-09","2E-09","3.5E-09","4.6E-09","7.4E-09","5.8E-09","1.7E-09","1.7E-09","1.5E-09","3.9E-09","1.9E-09","1.8E-09","1.4E-09","1.3E-09","9.4E-10","1.7E-09","1.5E-09","1.4E-09","1.4E-09","2.6E-09","1.5E-09","2.6E-09"
"Rh-102","207d","0.05","3E-10","4.3E-10","3.1E-10","2.2E-10","2.1E-10","2.5E-10","5.9E-10","1.2E-09","3.8E-09","9.9E-09","6.4E-09","3.3E-10","3E-10","3E-10","8E-10","3.4E-10","3.4E-10","2.5E-10","2.5E-10","2.2E-10","3.1E-10","2.9E-10","2.5E-10","2.5E-10","5.1E-10","3.1E-10","1.2E-09"
"Rh-103m","56.12m","0.05","3.9E-15","8.8E-15","6.5E-15","3.3E-15","3.3E-15","3.3E-15","2.6E-11","1.6E-11","9E-12","1.4E-12","5.7E-12","4.7E-15","4.6E-15","8.2E-15","4.5E-14","3.3E-14","5E-15","3.3E-15","4.2E-15","3.6E-15","9.9E-15","3.3E-15","3.3E-15","3.3E-15","1.7E-14","3.4E-13","3.8E-12"
"Rh-105","35.36h","0.05","6.5E-12","2.1E-11","7.7E-12","2.8E-12","3.4E-12","3.4E-12","1.9E-10","4.4E-10","1.9E-09","3.8E-09","2.7E-09","1.1E-11","8.2E-12","8.8E-12","5.2E-11","1.1E-11","1.2E-11","3E-12","3.9E-12","4.7E-12","8.5E-12","7.3E-12","3.4E-12","3E-12","2.7E-11","1.7E-11","3.7E-10"
"Rh-106m","132m","0.05","3E-11","3.6E-11","1.5E-11","7.1E-13","7.3E-12","5.6E-12","5.3E-10","5E-10","6.8E-10","2.4E-10","4.9E-10","4.8E-11","3.2E-11","2.5E-11","1.4E-10","8.4E-11","3.4E-11","1.5E-12","1.1E-11","1E-11","5.5E-11","8.8E-12","5.6E-12","1.5E-12","1E-10","3.5E-11","1.6E-10"
"Rh-107","21.7m","0.05","9.4E-13","3.8E-13","3E-13","8.7E-15","2.1E-13","1.5E-13","1.9E-10","5.3E-11","1.4E-11","1.8E-12","9E-12","1E-12","6E-13","4.6E-13","1.5E-12","3.5E-12","5.1E-13","2.3E-14","3.4E-13","1.8E-13","2.2E-12","7.2E-14","1.5E-13","2.3E-14","1.2E-12","1.6E-12","2.4E-11"
"Pd-100","3.63d","0.005","7.5E-11","4.3E-10","1.2E-10","1.4E-12","1.7E-11","1.3E-11","3.1E-10","1.2E-09","2.7E-09","7.2E-09","4.6E-09","2E-10","1.4E-10","1.5E-10","1.4E-09","1.2E-10","2.4E-10","4.3E-12","2.5E-11","5.9E-11","1.1E-10","1.4E-10","1.3E-11","4.3E-12","5.4E-10","1.7E-10","9.4E-10"
"Pd-101","8.27h","0.005","8.7E-12","2.6E-11","8.8E-12","7.2E-14","1.7E-12","1.2E-12","1E-10","2E-10","4.7E-10","4.7E-10","4.7E-10","1.9E-11","1.3E-11","1.2E-11","1E-10","2E-11","1.8E-11","2.7E-13","2.7E-12","4.2E-12","1.4E-11","7E-12","1.2E-12","2.7E-13","4.8E-11","1.6E-11","9.4E-11"
"Pd-103","16.96d","0.005","2.3E-13","2.1E-12","2.7E-12","4.7E-14","4.5E-14","4.5E-14","3.4E-11","1.4E-10","8.4E-10","2.3E-09","1.5E-09","2E-11","1.1E-11","1.5E-12","3.5E-11","6E-13","1.6E-12","4.4E-14","1.2E-13","1.8E-13","2.6E-13","1.6E-13","4.5E-14","4.4E-14","1.9E-12","4.5E-12","1.9E-10"
"Pd-107","6.5E6y","0.005","1E-14","1.2E-13","1.5E-13","1E-14","1E-14","1E-14","1.1E-11","2.7E-11","1.6E-10","4.7E-10","3E-10","6.7E-12","3.5E-12","1E-14","1E-14","1E-14","5.5E-14","1E-14","1E-14","1E-14","1E-14","1E-14","1E-14","1E-14","1E-14","6.3E-13","3.7E-11"
"Pd-109","13.427h","0.005","2.5E-13","1.8E-12","1.3E-12","9.5E-14","1.1E-13","1E-13","4.8E-10","1E-09","3.6E-09","4.7E-09","4.1E-09","6.8E-12","3.7E-12","6E-13","7.6E-12","7.7E-13","8E-13","9.6E-14","1.4E-13","1.8E-13","4.5E-13","2.2E-13","1E-13","9.6E-14","1.8E-12","2.1E-11","5.5E-10"
"Ag-102","12.9m","0.05","5.8E-12","1.8E-12","1.4E-12","5.3E-14","1.6E-12","1.2E-12","3E-10","5.1E-11","1.9E-11","5.3E-12","1.3E-11","6E-12","3.5E-12","2.6E-12","6.3E-12","2.2E-11","2.7E-12","1.9E-13","2.3E-12","1.1E-12","1.4E-11","4.4E-13","1.2E-12","1.9E-13","5.4E-12","3.7E-12","4E-11"
"Ag-103","65.7m","0.05","5E-12","4E-12","2.2E-12","9.5E-14","1.2E-12","8.7E-13","2.4E-10","1.5E-10","1.2E-10","3.3E-11","8.3E-11","6.9E-12","4.9E-12","3.4E-12","1.7E-11","1.6E-11","4.3E-12","2E-13","1.8E-12","1.3E-12","1E-11","8.8E-13","8.7E-13","2E-13","1.3E-11","6.5E-12","4.3E-11"
"Ag-104","69.2m","0.05","1.8E-11","1.4E-11","7.1E-12","2.3E-13","4.3E-12","3.2E-12","2.4E-10","1.4E-10","1.6E-10","5E-11","1.1E-10","2.4E-11","1.5E-11","1.2E-11","6E-11","5.6E-11","1.5E-11","6.5E-13","6.5E-12","4.8E-12","3.6E-11","3.4E-12","3.2E-12","6.5E-13","4.5E-11","1.5E-11","6E-11"
"Ag-104m","33.5m","0.05","6.7E-12","5.2E-12","2.6E-12","9.7E-14","1.7E-12","1.2E-12","3.4E-10","1.5E-10","9.2E-11","2.1E-11","6.1E-11","9E-12","5.7E-12","4.4E-12","2.1E-11","2.2E-11","5.6E-12","2.6E-13","2.5E-12","1.8E-12","1.4E-11","1.2E-12","1.2E-12","2.6E-13","1.6E-11","7.4E-12","5.4E-11"
"Ag-105","41.0d","0.05","1.8E-10","2.2E-10","1.2E-10","3.2E-11","5.2E-11","5.7E-11","2.6E-10","6.3E-10","1.2E-09","2.5E-09","1.8E-09","1.8E-10","7.6E-10","1.2E-10","6.4E-10","2E-10","1.6E-10","4.2E-11","9.4E-11","5.7E-11","1.1E-10","9E-11","5.7E-11","4.2E-11","3E-10","1.3E-10","4.7E-10"
"Ag-106","23.96m","0.05","2.3E-12","9.5E-13","6.3E-13","1.9E-14","5.2E-13","3.8E-13","2.4E-10","7.3E-11","2.5E-11","3.9E-12","1.6E-11","2.5E-12","1.5E-12","1.1E-12","3.8E-12","8.3E-12","1.3E-12","6E-14","8.3E-13","4.5E-13","5.2E-12","2E-13","3.8E-13","6E-14","3.1E-12","2.6E-12","3.2E-11"
"Ag-106m","8.41d","0.05","3.8E-10","8.5E-10","2.9E-10","4.6E-11","1E-10","1.1E-10","8.7E-10","2.4E-09","3.9E-09","6.5E-09","5E-09","5.2E-10","1.1E-09","3.8E-10","2.7E-09","5.2E-10","5.6E-10","6.7E-11","1.7E-10","1.7E-10","3.4E-10","3E-10","1.1E-10","6.7E-11","1.2E-09","4.1E-10","1.5E-09"
"Ag-108m","127y","0.05","1.9E-09","1.1E-09","8.7E-10","3.9E-10","6.1E-10","6.7E-10","1.5E-09","2.6E-09","4.7E-09","8.4E-09","6.3E-09","1.6E-09","8.8E-09","8.8E-10","2.5E-09","1.8E-09","1.1E-09","5.1E-10","1.1E-09","5.2E-10","9E-10","6.2E-10","6.7E-10","5.1E-10","1.5E-09","9.1E-10","2.3E-09"
"Ag-110m","249.9d","0.05","1.8E-09","1.4E-09","8.5E-10","3.4E-10","5.7E-10","6.2E-10","1.7E-09","3.4E-09","6.2E-09","1.1E-08","8.5E-09","1.6E-09","7.5E-09","9.4E-10","3.5E-09","1.8E-09","1.2E-09","4.6E-10","9.8E-10","5.4E-10","9.3E-10","6.8E-10","6.2E-10","4.6E-10","1.9E-09","9.8E-10","2.8E-09"
"Ag-111","7.45d","0.05","2E-11","2.6E-11","2E-11","1.7E-11","1.8E-11","1.8E-11","4.3E-10","9.9E-10","5.6E-09","1.5E-08","9.6E-09","2.2E-11","5.9E-10","2E-11","4.3E-11","2.2E-11","2.2E-11","1.7E-11","1.8E-11","1.8E-11","2E-11","2E-11","1.8E-11","1.7E-11","2.9E-11","4.1E-11","1.3E-09"
"Ag-112","3.12h","0.05","9.3E-12","1.3E-11","5.7E-12","1.2E-12","3E-12","2.5E-12","1.4E-09","1.7E-09","2.7E-09","1.2E-09","2.1E-09","1.5E-11","1.8E-11","8.6E-12","4.8E-11","2.3E-11","1.2E-11","1.4E-12","4E-12","4.1E-12","1.5E-11","4.1E-12","2.5E-12","1.4E-12","3.2E-11","4.5E-11","4.3E-10"
"Ag-115","20.0m","0.05","1.9E-12","1.3E-12","7.3E-13","8.5E-14","5.5E-13","4.4E-13","4.1E-10","1.2E-10","6.5E-11","9.1E-11","7.6E-11","2.2E-12","3E-12","1.1E-12","4.3E-12","6.6E-12","1.3E-12","1.3E-13","7.9E-13","4.9E-13","4.2E-12","3.9E-13","4.4E-13","1.3E-13","2.9E-12","3.5E-12","6E-11"
"Cd-104","57.7m","0.05","1.2E-11","1.6E-11","7E-12","2.5E-13","2.8E-12","2.1E-12","1.4E-10","1.6E-10","2.2E-10","6.8E-11","1.6E-10","2.2E-11","1.4E-11","1.1E-11","6.9E-11","3.2E-11","1.6E-11","5.7E-13","4.2E-12","4.3E-12","2.1E-11","3.9E-12","2.1E-12","5.7E-13","4.9E-11","1.4E-11","5.4E-11"
"Cd-107","6.49h","0.05","5E-13","1.1E-12","1.2E-12","2E-13","2.2E-13","2.2E-13","1E-10","1.7E-10","4.3E-10","3.4E-10","3.9E-10","9.5E-12","2.2E-12","9.8E-13","1.1E-11","1.7E-12","9.2E-13","2E-13","3E-13","3.1E-13","9.2E-13","3.3E-13","2.2E-13","2E-13","2.9E-12","4.5E-12","6.2E-11"
"Cd-109","464d","0.05","5E-10","2.7E-10","3.9E-10","2.8E-10","2.7E-10","2.8E-10","4E-10","5.7E-10","1.8E-09","4.6E-09","3E-09","4E-08","7.3E-09","3.1E-10","3.4E-10","3.6E-10","2.7E-10","2.8E-10","3.3E-10","2.6E-10","4.3E-10","2.7E-10","2.8E-10","2.8E-10","2.9E-10","2E-08","2E-09"
"Cd-113","9.3E15y","0.05","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.9E-09","4.1E-09","5.4E-09","8.5E-09","6.7E-09","6.2E-07","1.1E-07","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.1E-07","2.5E-08"
"Cd-113m","13.6y","0.05","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.7E-09","4E-09","6.6E-09","1.3E-08","9.2E-09","5.6E-07","9.7E-08","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","3.5E-09","2.8E-07","2.3E-08"
"Cd-115","53.46h","0.05","3.8E-11","9.7E-11","3.6E-11","8.7E-12","1.3E-11","1.2E-11","4.6E-10","1.3E-09","6.4E-09","1.5E-08","1E-08","9.9E-10","2.1E-10","4.3E-11","3E-10","5.2E-11","6.4E-11","9.8E-12","1.6E-11","2E-11","4.3E-11","3.6E-11","1.2E-11","9.8E-12","1.4E-10","7.7E-11","1.4E-09"
"Cd-115m","44.6d","0.05","1.8E-10","1.7E-10","1.7E-10","1.6E-10","1.7E-10","1.7E-10","8.7E-10","1.8E-09","1E-08","2.9E-08","1.8E-08","2.6E-08","4.5E-09","1.7E-10","1.9E-10","1.8E-10","1.7E-10","1.7E-10","1.7E-10","1.7E-10","1.8E-10","1.7E-10","1.7E-10","1.7E-10","1.8E-10","1.3E-08","3.3E-09"
"Cd-117","2.49h","0.05","1.6E-11","2.4E-11","1.1E-11","9.5E-13","4.2E-12","3.4E-12","6.2E-10","1E-09","1.9E-09","9E-10","1.5E-09","4.7E-11","2.3E-11","1.5E-11","9.4E-11","4E-11","2.1E-11","1.4E-12","6E-12","6.3E-12","2.7E-11","6.4E-12","3.4E-12","1.4E-12","6.2E-11","3.6E-11","2.8E-10"
"Cd-117m","3.36h","0.05","3.5E-11","5.7E-11","2.3E-11","1.3E-12","8.9E-12","7E-12","5.8E-10","9.2E-10","1.6E-09","8E-10","1.3E-09","7.9E-11","4.7E-11","3.5E-11","2.2E-10","8.6E-11","4.8E-11","2.4E-12","1.3E-11","1.4E-11","5.8E-11","1.5E-11","7E-12","2.4E-12","1.4E-10","5.3E-11","2.8E-10"
"In-109","4.2h","0.02","1.1E-11","1.9E-11","8.7E-12","2.2E-13","2.3E-12","1.7E-12","1.3E-10","1.7E-10","3.2E-10","1.7E-10","2.5E-10","2.1E-11","1.4E-11","1.1E-11","7.6E-11","2.8E-11","1.7E-11","4.7E-13","3.6E-12","4.1E-12","1.9E-11","4.5E-12","1.7E-12","4.7E-13","4.7E-11","1.4E-11","6.6E-11"
"In-110","4.9h","0.02","5.4E-11","1E-10","3.6E-11","8.7E-13","1.2E-11","9E-12","3.8E-10","5.2E-10","9.5E-10","4.9E-10","7.5E-10","1E-10","7.1E-11","5.7E-11","3.9E-10","1.3E-10","8.3E-11","2.4E-12","1.8E-11","2.2E-11","8.8E-11","2.6E-11","9E-12","2.4E-12","2.4E-10","6.6E-11","2.4E-10"
"In-110m","69.1m","0.02","1E-11","8.6E-12","4.2E-12","1.2E-13","2.4E-12","1.8E-12","5.6E-10","3.8E-10","3E-10","6.8E-11","2E-10","1.4E-11","9E-12","7E-12","3.5E-11","3.3E-11","9.2E-12","3.4E-13","3.7E-12","2.7E-12","2.1E-11","1.9E-12","1.8E-12","3.4E-13","2.7E-11","1.5E-11","1E-10"
"In-111","2.83d","0.02","2.7E-11","1.1E-10","4.8E-11","1.8E-12","4.6E-12","4.4E-12","1.5E-10","4.4E-10","1.1E-09","2E-09","1.5E-09","6.8E-11","4.5E-11","4.2E-11","3.6E-10","5E-11","7.4E-11","2.3E-12","8E-12","1.4E-11","4.1E-11","3.1E-11","4.4E-12","2.3E-12","1.7E-10","4.9E-11","2.9E-10"
"In-112","14.4m","0.02","5.6E-13","1.7E-13","1.4E-13","3.3E-15","1.3E-13","9.5E-14","8E-11","1.5E-11","3.6E-12","6.1E-13","2.3E-12","5.7E-13","3.3E-13","2.5E-13","6.6E-13","2.2E-12","2.7E-13","1.3E-14","2.1E-13","1E-13","1.3E-12","3.7E-14","9.5E-14","1.3E-14","5.5E-13","5.8E-13","1E-11"
"In-113m","1.658h","0.02","2.3E-12","2.4E-12","1.2E-12","2.9E-14","4.7E-13","3.5E-13","1.3E-10","1.2E-10","1.2E-10","3.3E-11","8.1E-11","3.5E-12","2.2E-12","1.8E-12","1E-11","7.2E-12","2.4E-12","6.8E-14","7.6E-13","6.3E-13","4.6E-12","4.8E-13","3.5E-13","6.8E-14","7.3E-12","4.1E-12","2.8E-11"
"In-114m","49.51d","0.02","1.4E-10","1.5E-10","1.9E-09","1.2E-10","1.2E-10","1.2E-10","1.1E-09","2.7E-09","1.5E-08","4.4E-08","2.7E-08","4E-09","2E-09","1.3E-10","2.4E-10","1.4E-10","3.5E-09","1.2E-10","1.3E-10","1.2E-10","9.9E-10","1.3E-10","1.2E-10","1.2E-10","1.7E-10","2.3E-10","4.1E-09"
"In-115","5.1E15y","0.02","5E-09","5E-09","8.2E-08","5E-09","5E-09","5E-09","5.2E-09","5.4E-09","7.6E-09","1.3E-08","9.7E-09","1.7E-07","8.5E-08","5E-09","5E-09","5E-09","1.5E-07","5E-09","5E-09","5E-09","4.3E-08","5E-09","5E-09","5E-09","5E-09","8.9E-08","3.2E-08"
"In-115m","4.486h","0.02","2.8E-12","5.2E-12","2.6E-12","1.1E-13","5.8E-13","4.5E-13","1.9E-10","2.9E-10","5.7E-10","3.5E-10","4.8E-10","5.9E-12","3.9E-12","3E-12","2.1E-11","7.5E-12","4.9E-12","1.6E-13","9.1E-13","1.1E-12","5E-12","1.2E-12","4.5E-13","1.6E-13","1.3E-11","9E-12","8.6E-11"
"In-116m","54.15m","0.02","1.3E-11","9.3E-12","4.8E-12","1.5E-13","3.4E-12","2.6E-12","3.4E-10","1.8E-10","1.5E-10","3.7E-11","9.9E-11","1.7E-11","1.1E-11","8.2E-12","3.7E-11","4.2E-11","1E-11","5E-13","5E-12","3.5E-12","2.7E-11","2.3E-12","2.6E-12","5E-13","2.9E-11","1.2E-11","6.4E-11"
"In-117","43.8m","0.02","3.5E-12","2.2E-12","1.4E-12","2.4E-14","7.6E-13","5.5E-13","2E-10","9.6E-11","5.5E-11","1.1E-11","3.6E-11","4.4E-12","2.6E-12","2E-12","9E-12","1.2E-11","2.5E-12","8.3E-14","1.2E-12","7.7E-13","7.8E-12","4.2E-13","5.5E-13","8.3E-14","7.2E-12","4E-12","3.1E-11"
"In-117m","116.5m","0.02","3.5E-12","5.5E-12","2.7E-12","1.1E-13","7.3E-13","5.5E-13","4.5E-10","5.2E-10","6.1E-10","1.9E-10","4.3E-10","6.8E-12","4.5E-12","3.4E-12","2.2E-11","9.4E-12","5.2E-12","1.7E-13","1.1E-12","1.2E-12","6.2E-12","1.2E-12","5.5E-13","1.7E-13","1.5E-11","2.6E-10","1.2E-10"
"In-119m","18.0m","0.02","6.7E-14","2.7E-14","2.4E-14","2.7E-15","1.8E-14","1.4E-14","3.8E-10","9.2E-11","1.8E-11","1E-12","1.1E-11","7.5E-14","4.5E-14","3.8E-14","1.2E-13","2.9E-13","3.9E-14","4.1E-15","2.9E-14","1.6E-14","1.6E-13","7.8E-15","1.4E-14","4.1E-15","9.2E-14","2E-12","4.7E-11"
"Sn-110","4.0h","0.02","2.4E-11","5.8E-11","2E-11","6.5E-13","5.1E-12","3.9E-12","3.8E-10","1.1E-09","2.5E-09","1.5E-09","2.1E-09","4.9E-11","3.5E-11","2.9E-11","2.1E-10","5.4E-11","4.4E-11","1.2E-12","7.6E-12","1.1E-11","3.7E-11","1.4E-11","3.9E-12","1.2E-12","1.2E-10","5.1E-11","3.5E-10"
"Sn-111","35.3m","0.02","2.2E-12","2.1E-12","1.2E-12","2.8E-14","5.2E-13","3.9E-13","1.4E-10","6.2E-11","3.8E-11","2.3E-11","3.1E-11","2.9E-12","1.7E-12","1.5E-12","7.8E-12","7.8E-12","1.9E-12","7.3E-14","8.2E-13","5.7E-13","4.9E-12","5E-13","3.9E-13","7.3E-14","5.1E-12","2.8E-12","2.3E-11"
"Sn-113","115.1d","0.02","4.5E-11","1.2E-10","2.6E-10","2.6E-11","1.9E-11","2.2E-11","1.4E-10","6.1E-10","2.8E-09","8E-09","5E-09","6E-11","4.4E-11","5.7E-11","3.7E-10","5.2E-11","1.5E-10","2.3E-11","2.7E-11","2.9E-11","4.4E-11","4.7E-11","2.2E-11","2.3E-11","1.5E-10","6.7E-11","7.3E-10"
"Sn-117m","13.61d","0.02","1.4E-11","6.7E-11","5E-10","3.4E-12","3.7E-12","3.9E-12","2.4E-10","6.4E-10","3E-09","8E-09","5.1E-09","2.6E-11","1.7E-11","2.3E-11","2E-10","2.4E-11","7.4E-11","3.4E-12","5.4E-12","8.3E-12","1.9E-11","1.7E-11","3.9E-12","3.4E-12","8.5E-11","3.5E-11","7.1E-10"
"Sn-119m","293.0d","0.02","9.7E-12","1.5E-11","2E-10","9.9E-12","8.9E-12","9.2E-12","1.1E-10","2.6E-10","1.4E-09","4.1E-09","2.6E-09","9.7E-12","9.6E-12","1.1E-11","4E-11","9.9E-12","6.8E-11","9.2E-12","9.4E-12","9E-12","9.5E-12","9.1E-12","9.2E-12","9.2E-12","1.3E-11","1.6E-11","3.4E-10"
"Sn-121","27.06h","0.02","2E-13","2.2E-12","2.6E-11","2E-13","2E-13","2E-13","1.3E-10","2.9E-10","1.3E-09","2.4E-09","1.8E-09","2E-13","2E-13","2E-13","2E-13","2E-13","2.3E-12","2E-13","2E-13","2E-13","2E-13","2E-13","2E-13","2E-13","2E-13","6.2E-12","2.3E-10"
"Sn-121m","55y","0.02","3E-11","3.5E-11","6.4E-10","3E-11","2.9E-11","2.9E-11","7.5E-11","1.7E-10","1.2E-09","4.5E-09","2.6E-09","3E-11","3E-11","3E-11","4.3E-11","3E-11","2.3E-10","2.9E-11","3E-11","2.9E-11","3E-11","2.9E-11","2.9E-11","2.9E-11","3.1E-11","3.3E-11","3.8E-10"
