"Nuclide","Half Life","Tye","f1","Adrenals","Urinary Bladder","Bone Suface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Po-205","1.80h","M","0.1","2.8E-11","1.5E-11","1.8E-11","7.3E-12","2.3E-11","3.7E-11","1E-10","9.4E-11","1.2E-10","5.7E-11","9.5E-11","3E-11","3.4E-11","2.2E-11","4.2E-11","3.8E-11","1.7E-11","2.7E-09","5.5E-10","9.6E-12","3.8E-11","6.1E-12","3.7E-11","1.3E-11","3.3E-11","1.3E-09","1.7E-10"
"Po-205","1.80h","S","0.01","2.6E-11","1.4E-11","1.6E-11","5.6E-12","2.3E-11","3.7E-11","1.1E-10","9.9E-11","1.3E-10","6E-11","1E-10","2E-11","2.6E-11","2.1E-11","4.3E-11","3.6E-11","1.5E-11","2.7E-09","6E-10","8.6E-12","2.7E-11","4.6E-12","3.7E-11","1.2E-11","3.3E-11","1.4E-09","1.8E-10"
"Po-207","350m","F","0.1","5.3E-11","3.9E-11","4.7E-11","2.6E-11","2.8E-11","6.4E-11","9.7E-11","1.4E-10","2.4E-10","1.6E-10","2.1E-10","1.1E-10","9.7E-11","4.5E-11","8.5E-11","6.4E-11","4.6E-11","5.1E-09","4.7E-11","2.3E-11","1.2E-10","2.4E-11","6.4E-11","3.1E-11","6.5E-11","2.6E-09","2.1E-10"
"Po-207","350m","M","0.1","4.8E-11","3.8E-11","3.4E-11","1.3E-11","3.8E-11","6.9E-11","1.4E-10","2.2E-10","4.2E-10","2.6E-10","3.5E-10","5.1E-11","5.9E-11","4.4E-11","1.2E-10","6.3E-11","3.4E-11","5.3E-09","2.4E-10","1.8E-11","5.7E-11","1.6E-11","6.9E-11","2.3E-11","8.1E-11","2.7E-09","2.6E-10"
"Po-207","350m","S","0.01","4.6E-11","3.9E-11","3.2E-11","1.1E-11","3.9E-11","6.9E-11","1.5E-10","2.4E-10","4.6E-10","2.9E-10","3.9E-10","4.1E-11","5.2E-11","4.4E-11","1.3E-10","6.2E-11","3.3E-11","5.3E-09","2.6E-10","1.7E-11","4.6E-11","1.5E-11","6.9E-11","2.1E-11","8.7E-11","2.7E-09","2.7E-10"
"Po-210","138.38d","F","0.1","4.9E-07","4.9E-07","4.5E-06","4.9E-07","4.9E-07","4.9E-07","4.9E-07","4.9E-07","5E-07","5.3E-07","5.2E-07","1.7E-05","1E-05","4.9E-07","4.9E-07","4.9E-07","6.1E-06","5E-07","5.2E-07","4.9E-07","2E-05","4.9E-07","4.9E-07","4.9E-07","4.9E-07","1E-05","2.2E-06"
"Po-210","138.38d","M","0.1","1.6E-07","1.6E-07","1.5E-06","1.6E-07","1.6E-07","1.6E-07","1.6E-07","1.7E-07","1.8E-07","2.2E-07","2E-07","5.7E-06","3.4E-06","1.6E-07","1.6E-07","1.6E-07","2.1E-06","9.9E-06","5.1E-05","1.6E-07","6.8E-06","1.6E-07","1.6E-07","1.6E-07","1.6E-07","2.7E-07","6.7E-06"
"Po-210","138.38d","S","0.01","8.5E-09","8.5E-09","7.7E-08","8.5E-09","8.5E-09","8.5E-09","9.6E-09","1.2E-08","2.8E-08","6.4E-08","4.4E-08","2.9E-07","1.7E-07","8.5E-09","8.5E-09","8.5E-09","1.1E-07","1.9E-05","7.2E-05","8.5E-09","3.5E-07","8.5E-09","8.5E-09","8.5E-09","8.5E-09","2.2E-08","8.6E-06"
"At-207","1.80h","F","1.0","3E-10","2.9E-10","3E-10","2.9E-10","2.9E-10","3.2E-10","3.8E-10","3E-10","3E-10","3E-10","3E-10","2.9E-10","3E-10","3E-10","3E-10","3E-10","2.9E-10","6.5E-09","3.8E-09","2.9E-10","3E-10","2.9E-10","3.2E-10","3E-10","3E-10","3.4E-09","8.9E-10"
"At-207","1.80h","M","1.0","1.8E-10","1.6E-10","1.7E-10","1.6E-10","1.8E-10","2E-10","3.3E-10","1.7E-10","1.7E-10","1.7E-10","1.7E-10","1.7E-10","1.8E-10","1.7E-10","1.6E-10","1.9E-10","1.7E-10","8.2E-09","3.4E-08","1.6E-10","1.8E-10","1.6E-10","2E-10","1.7E-10","1.6E-10","1.8E-10","4.3E-09"
